Date,Site_ID,YSI_Depth_m,Temp_C,DO_%,DO_mgL,SPC_uScm,pH,Nitrate,Secchi_m,WaterDepth_m,Notes
20220623,WHE_P3 ,0,15.8,112.1,11.08,971,8.89,NA,1.6764,5.15112,
20220623,WHE_P3 ,0.5,15.8,112.2,11.1,971,8.88,NA,1.6764,5.15112,
20220623,WHE_P3 ,1,15.8,112.2,11.1,971,8.84,NA,1.6764,5.15112,
20220623,WHE_P3 ,1.5,15.8,112.2,11.1,972,8.83,NA,1.6764,5.15112,
20220623,WHE_P3 ,2,15.8,112.2,11.09,971,8.83,NA,1.6764,5.15112,
20220623,WHE_P3 ,2.5,15.8,112,11.08,972,8.82,NA,1.6764,5.15112,
20220623,WHE_P3 ,3,15.8,112.1,11.09,972,8.81,NA,1.6764,5.15112,
20220623,WHE_P3 ,3.5,15.8,112,11.08,972,8.81,NA,1.6764,5.15112,
20220623,WHE_P3 ,4,15.7,111.9,11.08,972,8.8,NA,1.6764,5.15112,
20220623,GRY_P2,0,19.3,120.4,11.09,557,8.8,NA,3.6576,13.92936,
20220623,GRY_P2,0.5,19.3,120.5,11.11,557,8.79,NA,3.6576,13.92936,
20220623,GRY_P2,1,19.3,120.6,11.11,557,8.74,NA,3.6576,13.92936,
20220623,GRY_P2,1.5,19.2,120.6,11.12,557,8.68,NA,3.6576,13.92936,
20220623,GRY_P2,2,19.2,120.6,11.12,557,8.67,NA,3.6576,13.92936,
20220623,GRY_P2,2.5,19.2,120.6,11.11,557,8.67,NA,3.6576,13.92936,
20220623,GRY_P2,3,19.2,120.6,11.12,557,8.66,NA,3.6576,13.92936,
20220623,GRY_P2,3.5,19.2,120.7,11.12,557,8.65,NA,3.6576,13.92936,
20220623,GRY_P2,4,19.2,120.6,11.12,557,8.65,NA,3.6576,13.92936,
20220623,GRY_P2,4.5,19.2,120.7,11.12,557,8.64,NA,3.6576,13.92936,
20220623,GRY_P2,5,19.2,120.6,11.11,557,8.64,NA,3.6576,13.92936,
20220623,GRY_P2,5.5,19.2,120.5,11.11,557,8.64,NA,3.6576,13.92936,
20220623,GRY_P2,6,19.2,120.2,11.09,557,8.63,NA,3.6576,13.92936,
20220623,GRY_P2,6.5,19.2,120.1,11.08,558,8.63,NA,3.6576,13.92936,
20220623,GRY_P2,7,18.3,115.9,10.88,557,8.64,NA,3.6576,13.92936,
20220623,GRY_P2,7.5,18.1,112,10.56,557,8.6,NA,3.6576,13.92936,
