Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Bosmina_longirostris,NA,1.45E-05,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Leptodora_kindti,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Pseudo_chydorus_globosus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Polyphemus_pediculus,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Holopedium_gibberum,NA,1.45E-05,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Calanoida_general,0.007029707,0.002442822,0.814,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Leptodiaptomus_ashlandi,0.005693751,0.000988761,1.064,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,H_Shoshone,0.023302221,0.001003302,1.823,Calanoida,Omnivore,Raptorial,Omnivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Cyclopoida_general,0.002086583,0.00287904,0.607,Cyclopoida,Omnivore,Raptorial,Omnivore _ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Cyclops_bicuspidatus_thomasi,0.000993534,0.000363515,0.848,Cyclopoida,Omnivore carnivore,Raptorial,Omnivore carnivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Rotifera_general,NA,0.000145406,0.169,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Eucyclops_spp,NA,NA,NA,Cyclopoida,Omnivore herbivore,Raptorial,Omnivore herbivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Notholca_spp,NA,NA,NA,Rotifera,Herbivore,R-Filtration,Herbivore_ R-Filtration,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Polyarthra_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Ascomorpha_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Keratella_cochlearis,7.25E-16,4.36E-05,0.094,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Keratella_quadrata,5.01E-14,0.000741571,0.143,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Asplanchna_spp,NA,NA,NA,Rotifera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Kellicottia_longspinia,3.79E-15,0.000567084,0.13,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Amphipoda_general,NA,NA,NA,Amphipoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Mites_general,NA,NA,NA,Arachnida,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Alpine_general,NA,NA,NA,Alpine,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_middenorfiana,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Nauplii_general,0.000853564,0.009843991,0.16,Nauplii,NA,NA,NA_ NA,Nauplii
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Ostracod,NA,NA,NA,Ostrocoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Daphnia_Retrocurva,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Eubosmina_coregoni,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Snail_spp,NA,NA,NA,Gastropoda,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Diptera_spp,NA,NA,NA,Insecta,NA,NA,NA_ NA,NA
C,ALC,Alcova,ALC_P1_20210720,7/20/2021,Gastropus_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Cladocera_general,NA,NA,NA,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_galeata_mendote,0.049001507,0.002407824,1.643,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Bosmina_longirostris,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Leptodora_kindti,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Pseudo_chydorus_globosus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Polyphemus_pediculus,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Holopedium_gibberum,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Calanoida_general,0.006862983,0.002225719,0.836,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Leptodiaptomus_ashlandi,0.000644313,0.000121403,1.031,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,H_Shoshone,0.003546206,0.000283273,1.436,Calanoida,Omnivore,Raptorial,Omnivore_ Raptorial,Omnivore
C,ALC,Alcova,ALC_P1_20210824,8/24/2021,Cyclopoida_general,NA,0.003298112,NA,Cyclopoida,Omnivore,Raptorial,Omnivore _ Raptorial,Omnivore
