Sample_ID,percent_N,percent_C,percent_S,d15N,d13C,d34S,Notes,C_N_ratio,perc_lipid,d13C_corrected
GRY_P3_20220623,5.837,28.894,1.078,9.5241413,-32.3268524,-3.38498,yellow flag,4.950145623,0.313151519,-30.29136752
GRY_P3_20220726,3.3,29.2,0.8,8.9,-32.1,-2.2,,8.848484848,0.615753425,-28.09760274
GRY_P3_20220812_DUP,11.739,41.603,1.013,11.45822582,-27.91055397,-4.7530838,,3.543998637,0.040631685,-27.64644802
GRY_P3_20220817,10.108,38.654,1.241,11.1847457,-28.13181544,-4.122425,yellow flag,3.824099723,0.110901847,-27.41095343
GRY_P3_20220907,10.581,42.346,0.903,11.0249879,-30.85453676,-4.986876,,4.002079199,0.1504416,-29.87666636
GRY_P3_20220907_DUP,11.99,41.749,0.951,12.13515292,-30.09416711,-8.337062,,0,#DIV/0!,#DIV/0!
GRY_P3_20220930,8.463,32.87,0.847,9.1150508,-31.52864272,-3.064605,yellow flag,3.883965497,0.124606024,-30.71870357
JKL_MID_20220728,7.3,38.8,0.6,3.5,-30.9,13.4,,5.315068493,0.360309278,-28.55798969
JKL_NORTH_20220728,5.5,35.3,0.5,2,-29.3,13.2,,6.418181818,0.470254958,-26.24334278
JKL_SIGNAL_20220728,6.5,42.8,0.6,3.2,-32.9,13.9,,6.584615385,0.48364486,-29.75630841
NFL_P1_20210817,6.226,42.394,0.615,0.65668157,-32.00920443,0.055285,,6.809187279,0.500674624,-28.75481938
NFL_P1_20210914,6.373,42.128,0.621,0.537178118,-31.76543748,-0.213716,,6.610387573,0.485657995,-28.60866051
NFL_P1_20211019,9.057,42.41,0.7,1.770261866,-30.24638694,-3.056492,,4.682565971,0.273902382,-28.46602146
NFL_P2_20210720,7.167,42.137,1.006,1.406034912,-32.70331455,0.833506,,5.879307939,0.421700643,-29.96226037
NFL_P2_20210817,8.384,42.149,0.762,1.503335621,-31.46670309,-0.515927,,5.027313931,0.323694512,-29.36268876
