,Site_ID_pseudonym,Reservoir_ID,Reservoir_Name,Sample_ID,Site_ID,DUP,Collection_Date,Species_Name,biomass_ugL,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General
62,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,H_Shoshone,0.023302221,0.001003302,1.823,Calanoida,Omnivore,Raptorial,Omnivore_ Raptorial,Omnivore
63,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Cyclopoida_general,0.002086583,0.00287904,0.607,Cyclopoida,Omnivore,Raptorial,Omnivore _ Raptorial,Omnivore
64,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Cyclops_bicuspidatus_thomasi,0.000993534,0.000363515,0.848,Cyclopoida,Omnivore carnivore,Raptorial,Omnivore carnivore_ Raptorial,Omnivore
65,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Rotifera_general,NA,0.000145406,0.169,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
66,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Eucyclops_spp,NA,NA,NA,Cyclopoida,Omnivore herbivore,Raptorial,Omnivore herbivore_ Raptorial,Omnivore
67,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Notholca_spp,NA,NA,NA,Rotifera,Herbivore,R-Filtration,Herbivore_ R-Filtration,Herbivore_Rotifer
68,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Polyarthra_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
69,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Ascomorpha_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
70,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Keratella_cochlearis,7.25E-16,4.36E-05,0.094,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
71,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Keratella_quadrata,5.01E-14,0.000741571,0.143,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
72,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Asplanchna_spp,NA,NA,NA,Rotifera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore_Rotifer
73,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Kellicottia_longspinia,3.79E-15,0.000567084,0.13,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
74,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Amphipoda_general,NA,NA,NA,Amphipoda,NA,NA,NA_ NA,NA
75,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Mites_general,NA,NA,NA,Arachnida,NA,NA,NA_ NA,NA
76,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Alpine_general,NA,NA,NA,Alpine,NA,NA,NA_ NA,NA
77,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_middenorfiana,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
78,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Nauplii_general,0.000853564,0.009843991,0.16,Nauplii,NA,NA,NA_ NA,Nauplii
79,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Ostracod,NA,NA,NA,Ostrocoda,NA,NA,NA_ NA,NA
80,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Daphnia_Retrocurva,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
81,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Eubosmina_coregoni,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
82,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Snail_spp,NA,NA,NA,Gastropoda,NA,NA,NA_ NA,NA
83,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Diptera_spp,NA,NA,NA,Insecta,NA,NA,NA_ NA,NA
84,C,ALC,Alcova,ALC_P1_20210720,P1,,7/20/2021,Gastropus_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
85,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Cladocera_general,NA,NA,NA,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
86,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_galeata_mendote,0.049001507,0.002407824,1.643,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
87,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
88,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
89,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
90,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
91,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
92,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
93,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
94,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Bosmina_longirostris,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
95,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
96,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
97,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
98,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
99,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Leptodora_kindti,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
100,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Pseudo_chydorus_globosus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
101,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Polyphemus_pediculus,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
102,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Holopedium_gibberum,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
103,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Calanoida_general,0.006862983,0.002225719,0.836,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
104,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Leptodiaptomus_ashlandi,0.000644313,0.000121403,1.031,Calanoida,Omnivore,Stationary suspension,Omnivore_ Stationary suspension,Omnivore
105,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,H_Shoshone,0.003546206,0.000283273,1.436,Calanoida,Omnivore,Raptorial,Omnivore_ Raptorial,Omnivore
106,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Cyclopoida_general,NA,0.003298112,NA,Cyclopoida,Omnivore,Raptorial,Omnivore _ Raptorial,Omnivore
107,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Cyclops_bicuspidatus_thomasi,NA,0.000121403,NA,Cyclopoida,Omnivore carnivore,Raptorial,Omnivore carnivore_ Raptorial,Omnivore
108,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Rotifera_general,NA,0.000222572,0.176,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
109,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Eucyclops_spp,NA,NA,NA,Cyclopoida,Omnivore herbivore,Raptorial,Omnivore herbivore_ Raptorial,Omnivore
110,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Notholca_spp,NA,NA,NA,Rotifera,Herbivore,R-Filtration,Herbivore_ R-Filtration,Herbivore_Rotifer
111,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Polyarthra_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
112,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Ascomorpha_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
113,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Asplanchna_spp,NA,NA,NA,Rotifera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore_Rotifer
114,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Kellicottia_longspinia,4.16E-16,4.05E-05,0.15,Rotifera,Omnivore,R-Filtration,Omnivore_ R-Filtration,Omnivore_Rotifer
115,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Amphipoda_general,NA,NA,NA,Amphipoda,NA,NA,NA_ NA,NA
116,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Mites_general,NA,NA,NA,Arachnida,NA,NA,NA_ NA,NA
117,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Alpine_general,NA,NA,NA,Alpine,NA,NA,NA_ NA,NA
118,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_middenorfiana,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
119,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Nauplii_general,0.000895388,0.008214928,0.176,Nauplii,NA,NA,NA_ NA,Nauplii
120,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Ostracod,NA,NA,NA,Ostrocoda,NA,NA,NA_ NA,NA
121,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Daphnia_Retrocurva,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
122,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Eubosmina_coregoni,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
123,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Snail_spp,NA,NA,NA,Gastropoda,NA,NA,NA_ NA,NA
124,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Diptera_spp,NA,NA,NA,Insecta,NA,NA,NA_ NA,NA
125,C,ALC,Alcova,ALC_P1_20210824,P1,,8/24/2021,Gastropus_spp,NA,NA,NA,Rotifera,Herbivore,Raptorial,Herbivore_ Raptorial,Herbivore_Rotifer
126,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Cladocera_general,8.18E-05,0.000179856,0.431,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore
127,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Daphnia_galeata_mendote,0.020663136,0.003866907,1.026,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
128,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Daphnia_pulex,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
129,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Daphnia_schodleri,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
130,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Daphnia_pulicaria,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
131,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Daphnia_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
132,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Diaphanosoma_birgei,NA,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore
133,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Ceriodaphnia_reticulata,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
134,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Moina_spp,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
135,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Bosmina_longirostris,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
136,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Macrothrix_rosea,NA,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore
137,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Kurzia_latissima,NA,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore
138,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Leydlgla_quadrangularis,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
139,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Chydorus_sphaericus,NA,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore
140,C,ALC,Alcova,ALC_P1_DUP_20210614,P1,DUP,6/14/2021,Leptodora_kindti,NA,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore
