Reservoir_ID,Site_ID,DUP,Collection_Date,Depth_m,Temp_C,pH,SPC_uScm,DO_mgL,DO_percent,Secchi_m,WaterDepth_m,chl_a_ugL
SAR,P3,,20221019,0.5,9.5,8.68,417.2,13.24,116.1,1.6764,2.4384,1.4607228
SAR,P1,,20221028,0.5,4.4,8.58,420.2,13.61,105.1,0.8382,2.4384,2.3245608
SAR,P2,,20221028,0.5,4.5,8.55,418.1,14.22,110.1,1.3716,3.3528,1.653816
SAR,P3,,20221028,0.5,4.5,8.58,419,14.05,108.8,1.4478,2.1336,1.6572036
WHE,P1,,20220623,0.5,16.3,8.79,975,10.95,111.9,1.3716,4.572,5.7460368
WHE,P2,,20220623,0.5,15.8,8.81,973,11.77,119.1,1.6764,2.77368,2.8428636
WHE,P3,,20220623,0.5,15.8,8.88,971,11.1,112.2,1.6764,5.15112,2.1653436
WHE,P1,,20220726,0.5,19.3,8.5,1088,8.82,95.9,0.8382,NA,1.2066528
WHE,P2,,20220726,0.5,19,8.5,1088,9.33,100.9,2.7432,NA,1.24493268
WHE,P3,,20220726,0.5,19,8.8,1080,9.82,106.2,1.0668,NA,0.85366488
WHE,P1,,20220817,0.5,20.2,8.68,1172,9.39,104,1.905,6.096,3.7270272
WHE,P2,,20220817,0.5,20.2,9.18,1156,11.99,132.9,3.048,2.83464,9.2088312
WHE,P3,,20220817,0.5,20.1,9.06,1166,9.98,110.5,2.286,2.286,10.2047856
WHE,P1,,20220907,0.5,20.9,9.12,1137,12.06,135.6,4.7244,5.6388,1.43582394
WHE,P2,,20220907,0.5,21.3,9.41,1132,13.87,157,2.8956,2.8956,0.8737726
WHE,P3,,20220907,0.5,21.4,9.38,1139,12.08,137.1,1.9812,2.5908,1.6910796
WHE,P1,,20221017,0.5,8.7,8.53,1119,1.96,102,2.7432,5.24256,3.5373216
WHE,P2,,20221017,0.5,8.5,8.9,1120,12.44,106.7,2.7432,2.7432,2.8614954
WHE,P3,,20221017,0.5,8.4,9.03,1126,13,111.1,2.7432,4.81584,1.68701448
